ad_id,ad_name,long_version_video_id,short_version_video_id
0,chats-conditionate,789,1564
1,isomerizing-louma,960,1320
2,tipcat-preorder,1788,838
3,incipient-mumpishly,401,405
4,xylorimbas-drosophilas,815,1385
5,disloyalties-modulates,115,1985
6,scoreboards-preselections,906,876
7,tiptop-stummel,924,1742
8,also-subovate,1841,73
9,stimy-cathodically,667,1080
10,basher-jarping,486,412
11,nonresident-scrofulously,1289,1012
12,reembark-avoidance,1545,1251
13,electrophysiologically-toothless,1316,1752
14,salmagundi-excommunications,393,1071
15,elasticness-bandager,823,1779
16,carboxylases-faint,975,669
17,redshirted-deflexional,871,262
18,tarpon-hamartiology,1526,952
19,praetorships-buggering,1696,1464
20,lurch-galivant,1345,1449
21,deflowering-insincerities,1069,75
22,bibliothecae-blackjack,1541,509
23,prioritises-macromolecular,915,520
24,moleskin-depuratives,1789,965
25,liquidating-set,1008,1764
26,orchestraters-septentrional,93,554
27,retimed-stelleridan,1839,1904
28,accended-marooned,1780,362
29,alexine-dapperer,1578,1283
30,nationalisms-anecdotist,79,204
31,bichrome-confiseurs,533,778
32,italicisation-drinkablenesses,1943,23
33,diplozoic-pellack,1873,436
34,disinvest-branders,255,413
35,flashlamps-oligarchically,261,732
36,eyeshadows-disentrail,451,1799
37,multitudes-bedticks,1619,1411
38,counterarguments-bagpiping,1993,1339
39,inundated-gutsers,1978,892
40,manoscopy-naifer,1833,631
41,cantharidic-misfires,718,1331
42,supplicatory-dicrotism,611,392
43,iconolater-numerate,688,598
44,librations-nichering,942,1772
45,fumarolic-manyfold,496,1568
46,merceries-pyranoside,1574,715
47,convexity-pinchbugs,1255,117
48,mollycoddles-gullying,1623,398
49,faineances-panpsychists,801,786
50,howling-oeuvre,1561,1067
51,weightlessness-underestimations,708,1173
52,microbiological-singing,1995,1907
53,medics-funner,492,323
54,finaliser-monohydric,1927,1138
55,anopsia-sentimentalism,1815,714
56,voltaic-interpolates,227,706
57,beadiest-chorusmasters,1202,1922
58,hules-belleters,30,664
59,suppressed-gillnets,1363,165
60,tsardom-iodoforms,798,1032
61,guslar-lithiums,653,1167
62,puns-vicarship,589,215
63,tranquilize-supranationalisms,345,1510
64,roughened-simonise,1769,515
65,brashing-randomizations,1387,1217
66,skyman-crossroad,1456,1022
67,barters-unsteadies,1923,619
68,abandonment-distinctness,1818,1333
69,hefted-soliloquists,1146,263
70,vexillologies-echinuses,1360,379
71,terpineols-stereotyper,955,1140
72,uncategorisable-lilts,900,273
73,balletomania-falderaling,1796,111
74,caudillos-desertified,352,31
75,baken-welch,1486,710
76,coemploy-hysteranthous,909,1917
77,ascertain-pleas,1530,954
78,centennially-rockfalls,278,1237
79,mumbliest-phial,1023,54
80,cinquecentos-feignednesses,384,207
81,compradore-blit,1648,1157
82,toluols-reaedifyed,1304,321
83,joggling-destructo,1806,26
84,nonvegetarian-submittings,1836,126
85,embassages-precognoscing,1766,1335
86,subperiods-rebegin,1016,179
87,felching-shortarses,12,785
88,avens-electroencephalographic,1903,751
89,dungier-epiphysis,1395,1956
90,gynaecia-stickhandle,1902,1382
